SRS428962	SRR866663
SRS428963	SRR866664
SRS428960	SRR866665
SRS428964	SRR866666
SRS428958	SRR867031
SRS428958	SRR867032
SRS428958	SRR867033
SRS428958	SRR867034
SRS428958	SRR867035
SRS428972	SRR867036
SRS428972	SRR867037
SRS428972	SRR867038
SRS428972	SRR867039
SRS428972	SRR867040
SRS1631715	SRR4047198
SRS1631715	SRR4047199
SRS1631716	SRR4047200
SRS1631716	SRR4047201
SRS1631717	SRR4047202
SRS1631717	SRR4047203
SRS1631719	SRR4047205
SRS1631719	SRR4047206
SRS1631719	SRR4047207
SRS1631714	SRR4047196
SRS1631714	SRR4047197
SRS1631724	SRR4047212
SRS1631724	SRR4047213
SRS1631724	SRR4047214
SRS1631727	SRR4047217
SRS1631727	SRR4047218
SRS1631727	SRR4047219
SRS1631728	SRR4047220
SRS1631728	SRR4047221
SRS1631729	SRR4047222
SRS1631729	SRR4047223
SRS1631730	SRR4047224
SRS1631730	SRR4047225
ERS3882395	
ERS2159299	
ERS2159300	
ERS2159301	
ERS2159302	
ERS2159303	
ERS2159304	
ERS2159305	
ERS2159306	
ERS2159307	
ERS2159308	
ERS2159309	
ERS2159310	
ERS2159311	
ERS2159312	
ERS2159313	
ERS2159314	
ERS2159315	
ERS2159316	
ERS2159317	
ERS2159318	
ERS2159319	
ERS2159320	
ERS2159321	
ERS2159322	
ERS2159323	
ERS2159324	
ERS2159325	
ERS2159326	
ERS2159327	
ERS2159328	
ERS2159329	
ERS2159330	
ERS2159331	
ERS2159332	
SRS2006287	SRR5297130
SRS2006289	SRR5297133
SRS2006288	SRR5297132
SRS2006290	SRR5297131
SRS7296485	SRR12557008
SRS7296487	SRR12557006
SRS7296488	SRR12557007
SRS510175	SRR1047998
SRS6212663	SRR11176627
SRS6212662	SRR11176628
SRS6212661	SRR11176629
SRS6212660	SRR11176630
SRS6212659	SRR11176631
SRS6212658	SRR11176632
SRS6212657	SRR11176633
SRS6212656	SRR11176634
SRS6212655	SRR11176635
SRS6212654	SRR11176636
SRS6212652	SRR11176638
SRS6212651	SRR11176639
SRS6212650	SRR11176640
SRS6212649	SRR11176641
SRS6212648	SRR11176642
SRS7212796	SRR12462938
SRS7212795	SRR12462939
SRS7212794	SRR12462940
SRS7212793	SRR12462941
SRS7212792	SRR12462942
SRS7212791	SRR12462943
SRS7212790	SRR12462944
SRS7212789	SRR12462945
SRS7212804	SRR12462930
SRS7212803	SRR12462931
SRS7212802	SRR12462932
SRS7212801	SRR12462933
SRS7212800	SRR12462934
SRS7212799	SRR12462935
SRS7212798	SRR12462936
SRS7212797	SRR12462937
SRS7212788	SRR12462946
SRS7212787	SRR12462947
SRS7054141	SRR12281656
SRS7054141	SRR12281657
SRS7054141	SRR12281658
SRS7054141	SRR12281659
SRS7054140	SRR12281660
SRS7054140	SRR12281661
SRS7054140	SRR12281662
SRS7054140	SRR12281663
SRS6939170	SRR12136713
SRS6939171	SRR12136712
SRS1815425	SRR5047194
SRS1815300	SRR5047069
SRS1815290	SRR5047060
SRS1815306	SRR5047075
SRS1815342	SRR5047111
SRS1815363	SRR5047132
SRS1815390	SRR5047159
SRS1815395	SRR5047164
SRS1815397	SRR5047166
SRS1815278	SRR5047048
SRS1815388	SRR5047157
SRS1815282	SRR5047051
SRS1815401	SRR5047170
SRS1815396	SRR5047165
SRS1815287	SRR5047057
SRS1815317	SRR5047086
SRS1815417	SRR5047187
SRS1815274	SRR5047043
SRS1815332	SRR5047101
SRS1815311	SRR5047080
SRS1815377	SRR5047146
SRS1815301	SRR5047070
SRS1815349	SRR5047118
